series_key,country,agency,concept,product_group,currency_basis,frequency,seasonal_adjustment,source_id_or_table,access_method,earliest_observation,publication_lag_days,revision_policy,mapping_grade,priority,status,notes
uk_tech_cpi,United Kingdom,ONS,CPI,User-defined ten-component technology-goods COICOP5 aggregate,GBP,Monthly,NSA,"Indices L7GG L7GM L7GP L7GQ L7GR D7EO L7GT L7GU L7GY L7H9; matching weights in uk_tech_basket.csv",ONS MM23 download/API,TBC,TBC,TBC,A with one broad component,Core,Definition confirmed,Construct core and a sensitivity version excluding games and hobbies
kr_epi_tech_lcu,South Korea,Bank of Korea,Export price index,"Computers, electronic and optical equipment",KRW,Monthly,NSA,BOK ECOS 013P037 item 309 / monthly release workbooks,BOK official XLS/XLSX release archive,2019-04,About 15 days,Latest release workbook,A with a 2020 classification break,Core,Modelled,"Legacy releases use the broader label Electrical & electronic equipment; every source page, workbook and release date is recorded"
tw_epi_tech_lcu,Taiwan,DGBAS,Export price index,Integrated circuits,TWD,Monthly,NSA,pr0402a1m XML item 8542積體電路,DGBAS official open-data XML,1981-01,About 5 working days,Latest snapshot,A,Core,Modelled,Official TWD index; model sample begins 2015 after annual-rate transformation
tw_epi_tech_usd,Taiwan,DGBAS,Export price index,Integrated circuits,USD,Monthly,NSA,pr0401a1m XML item 8542積體電路,DGBAS official open-data XML,1981-01,About 5 working days,Latest snapshot,A,Core,Modelled,Official USD-basis version rather than a mechanical conversion
jp_epi_electronics_yen,Japan,Bank of Japan,Export price index,Electric and electronic products,JPY,Monthly,NSA,PRCG20_2400520001,BOJ public API,2014-01,About 8 business days,Latest snapshot,A/B,Core robustness,Modelled,Also converted mechanically to sterling with Bank of England GBP/JPY
jp_epi_electronics_contract,Japan,Bank of Japan,Export price index,Electric and electronic products,Contract currency,Monthly,NSA,PRCG20_2300520001,BOJ public API,2014-01,About 8 business days,Latest snapshot,A/B,Core robustness,Modelled,Separates exchange-rate effects from contract prices
cn_ppi_tech_yoy,China,National Bureau of Statistics,Producer price index,"Manufacture of computers, communication and other electronic equipment",CNY,Monthly,NSA,NBS M_A010B series A010B0Z,DBnomics Git archive of official NBS vintages,2021-03,About 9 days,Reconstructed latest observation from each archived vintage,B,Core robustness,Modelled with short-sample flag,Published as same month of previous year equals 100; short exercise uses a 36-observation training minimum
sg_mpi_electronics,Singapore,SingStat,Manufactured products price index,Electronics category TBC,SGD,Monthly,NSA,TBC,SingStat TableBuilder/API,TBC,TBC,TBC,B/C,Extension,Needs detail check,Proceed only if category and history are sufficiently narrow
hk_ppi_tech,Hong Kong,Census and Statistics Department,Producer price index,"Metal, computer, electronic and optical products, machinery and equipment",HKD,Quarterly,NSA,Table 520-62001 IND ind_PPI_IND_24-30,C&SD official JSON API,2005Q1,About one quarter,Latest snapshot,B/C,Core robustness,Modelled,"Available only quarterly and broader than technology; shifted three months before monthly forward-fill"
gbpkrw,United Kingdom/ South Korea,Federal Reserve Board via FRED plus Bank of England,Exchange rate,KRW per GBP,KRW per GBP,Monthly average,NSA,DEXKOUS crossed with XUDLUSS,Official CSV APIs,2014-01,Daily,Not applicable,Control,Core,Modelled,KRW per USD multiplied by USD per GBP
gbptwd,United Kingdom/ Taiwan,Federal Reserve Board via FRED plus Bank of England,Exchange rate,TWD per GBP,TWD per GBP,Monthly average,NSA,DEXTAUS crossed with XUDLUSS,Official CSV APIs,2014-01,Daily,Not applicable,Control,Core,Modelled,TWD per USD multiplied by USD per GBP
gbpjpy,United Kingdom/ Japan,Bank of England,Exchange rate,JPY per GBP,JPY per GBP,Monthly average,NSA,XUDLJYS,Bank of England database download,2014-01,Daily,Not applicable,Control,Core,Modelled,Monthly average; yen price index divided by JPY per GBP
gbpcny,United Kingdom/ China,Federal Reserve Board via FRED plus Bank of England,Exchange rate,CNY per GBP,CNY per GBP,Monthly average,NSA,DEXCHUS crossed with XUDLUSS,Official CSV APIs,2014-01,Daily,Not applicable,Control,Core,Modelled,CNY per USD multiplied by USD per GBP
gbphkd,United Kingdom/ Hong Kong,Federal Reserve Board via FRED plus Bank of England,Exchange rate,HKD per GBP,HKD per GBP,Monthly average,NSA,DEXHKUS crossed with XUDLUSS,Official CSV APIs,2014-01,Daily,Not applicable,Control,Core,Modelled,HKD per USD multiplied by USD per GBP
fred_asian_nie_semiconductor,Asian newly industrialised economies,U.S. Bureau of Labor Statistics,Import price index by origin,Semiconductor and other electronic component manufacturing,USD,Monthly,NSA,COOASZ3344,FRED no-key CSV,2012-06,Usually following month,Previous 3 months may revise,B,Robustness,Modelled,Asian-origin border-price index rather than a national Asian PPI
fred_asian_nie_computer_electronics,Asian newly industrialised economies,U.S. Bureau of Labor Statistics,Import price index by origin,Computer and electronic product manufacturing,USD,Monthly,NSA,COOASZ334,FRED no-key CSV,2012-06,Usually following month,Previous 3 months may revise,B,Robustness,Modelled,Also converted mechanically to sterling using Bank of England GBP/USD
fred_china_computer_electronics,China,U.S. Bureau of Labor Statistics,Import price index by origin,Computer and electronic product manufacturing,USD,Monthly,NSA,COCHNZ334,FRED no-key CSV,2012-06,Usually following month,Previous 3 months may revise,B,Long-history proxy,Modelled,US border price of Chinese-origin products; converted mechanically to sterling and kept separate from the national Chinese PPI
fred_japan_computer_electronics,Japan,U.S. Bureau of Labor Statistics,Import price index by origin,Computer and electronic product manufacturing,USD,Monthly,NSA,COJPNZ334,FRED no-key CSV,2012-06,Usually following month,Previous 3 months may revise,B,Long-history proxy,Modelled,US border price of Japanese-origin products; converted mechanically to sterling and kept separate from the BOJ export-price index
fred_asian_nie_all_imports,Asian newly industrialised economies,U.S. Bureau of Labor Statistics,Import price index by origin,All industries,USD,Monthly,NSA,OASTOT,FRED no-key CSV,1990-12,Usually following month,Previous 3 months may revise,C,Control,Modelled,Broad price control for the BLS technology candidates
oecd_tiva_uk_c26_origins,United Kingdom/OECD,OECD TiVA 2025,Imported value added embodied in gross imports,UK computer electronic and optical products by source economy,USD,Annual,Not applicable,IMGRVA.GBR.CHN+HKG+JPN+KOR+TWN.W.C26.USD.A,OECD SDMX CSV API,1995,Long annual-data lag,OECD revised 2025 edition,A,Exposure weights,Modelled,Origin shares are divided by the corresponding UK imports of C26 content sourced from the world
oecd_weighted_targeted_asia,Five Asian origins,Constructed from OECD and national sources,Import-content-weighted technology price basket,National technology export or producer prices converted to GBP,GBP,Monthly,NSA,Constructed series,Reproducible local transformation,2021-03,Limited by China targeted history,Latest component vintages,A/B,Core composite,Modelled,Uses latest available OECD origin shares without renormalising the five economies to 100 percent of UK import content
oecd_weighted_bls_asia,China/Japan/Asian NIE,Constructed from OECD and BLS sources,Import-content-weighted technology border-price proxy,Computer and electronics import prices converted from USD to GBP,GBP,Monthly,NSA,Constructed series,Reproducible local transformation,2012-06,Usually following month,Previous 3 months may revise,B,Long-history composite,Modelled,Asian NIE price proxy is allocated across Hong Kong Korea and Taiwan using OECD origin weights
wto_asian_manufactures,China/Chinese Taipei/Japan/Korea/Singapore,World Trade Organization,Export price index,Manufactures,Reported national basis,Monthly,NSA,ITS_MTP_MXPM,DBnomics public API,2005-01,About six weeks,Latest snapshot,C,Control,Processed diagnostic,Broad rather than technology-specific; equal-weight Asian-NIE composite excludes Hong Kong
uk_tech_cpi_historical_targeted,United Kingdom,ONS,Classification-bridged CPI,Targeted technology hardware,GBP,Monthly,NSA,"D7EN/CJYC D7EO/CJYD D7EP/CJYE plus handset item archive; linked to current COICOP5 aggregate",ONS MM23 plus official 1996-2019 item workbook,1996-01,Same as CPI,Latest frozen snapshots,B,Long-history target,Modelled,"Research backcast; overlap annual-rate correlation 0.986 and RMSE 1.08pp; current classification used from January 2015"
uk_tech_cpi_historical_ex_games,United Kingdom,ONS,Classification-bridged CPI,Technology goods excluding games,GBP,Monthly,NSA,"Targeted bridge plus D7ES/CJYF recording media; linked to current ex-games aggregate",ONS MM23 plus official 1996-2019 item workbook,1996-01,Same as CPI,Latest frozen snapshots,B/C,Long-history sensitivity,Modelled,"Historical recording-media parent is broader than the current component; overlap annual-rate correlation 0.960"
asia_bls_common_factor,China/Japan/Asian NIE,Constructed with scikit-learn,First principal component,Sterling computer and electronics border prices,Standardised factor,Monthly,NSA,"COCHNZ334 COJPNZ334 COOASZ334 converted to GBP",Recursive and full-sample PCA,2013-06,Usually following month,Previous 3 months may revise,B,Combined predictor,Modelled,"Recursive version used in forecasts; full-sample first factor explains 94.4 percent of standardised variation"
